DEPTH,BVW,CARB_FLAG,COAL_FLAG,KLOGH,KLOGV,PHIF,RHOFL,RHOMA,RW,SAND_FLAG,SW,TEMP,VSH
3785.616,0.061242,0,0,0,0,0.258475,0.9,2.66,0.0214081,0,0.2369,114.1966,1.6684
3785.7684,0.05911,0,0,0,0,0.295406,0.9,2.66,0.0214075,0,0.2001,114.2001,1.6739
3785.9208,0.066388,0,0,0,0,0.272757,0.9,2.66,0.0214069,0,0.2434,114.2036,1.6652
3786.0732,0.070602,0,0,0,0,0.234142,0.9,2.66,0.0214064,0,0.3015,114.2071,1.6856
3786.2256,0.069169,0,0,0,0,0.225579,0.9,2.66,0.0214058,0,0.3066,114.2107,1.5288
3786.378,0.067224,0,0,0,0,0.224433,0.9,2.66,0.0214053,0,0.2995,114.2142,1.5546
3786.5304,0.067355,0,0,0,0,0.226134,0.9,2.66,0.0214047,0,0.2979,114.2177,1.582
3786.6828,0.067986,0,0,0,0,0.214788,0.9,2.66,0.0214042,0,0.3165,114.2212,1.7069
3786.8352,0.069652,0,0,0,0,0.222149,0.9,2.66,0.0214036,0,0.3135,114.2248,1.7284
3786.9876,0.068132,0,0,0,0,0.234075,0.9,2.66,0.0214031,0,0.2911,114.2283,1.8141
3787.14,0.065437,0,0,0,0,0.236928,0.9,2.66,0.0214025,0,0.2762,114.2318,1.737
3787.2924,0.065701,0,0,0,0,0.236932,0.9,2.66,0.0214019,0,0.2773,114.2354,1.7283
3787.4448,0.06505,0,0,0,0,0.214234,0.9,2.66,0.0214014,0,0.3036,114.2389,1.6355
3787.5972,0.066816,0,0,0,0,0.217042,0.9,2.66,0.0214008,0,0.3078,114.2424,1.6465
3787.7496,0.069652,0,0,0,0,0.201725,0.9,2.66,0.0214003,0,0.3453,114.2459,1.6452
3787.902,0.072854,0,0,0,0,0.203974,0.9,2.66,0.0213997,0,0.3572,114.2495,1.6155
3788.0544,0.073286,0,0,0,0,0.185819,0.9,2.66,0.0213992,0,0.3944,114.253,1.6177
3788.2068,0.073842,0,0,0,0,0.217572,0.9,2.66,0.0213986,0,0.3394,114.2565,1.647
3788.3592,0.070461,0,0,0,0,0.219883,0.9,2.66,0.0213981,0,0.3204,114.26,1.6876
3788.5116,0.067467,0,0,0,0,0.225561,0.9,2.66,0.0213975,0,0.2991,114.2635,1.7327
3788.664,0.066111,0,0,0,0,0.222731,0.9,2.66,0.0213969,0,0.2968,114.2671,1.8108
3788.8164,0.066512,0,0,0,0,0.188114,0.9,2.66,0.0213964,0,0.3536,114.2706,1.7347
3788.9688,0.070276,0,0,0,0,0.210198,0.9,2.66,0.0213958,0,0.3343,114.2741,1.6009
3789.1212,0.070948,0,0,0,0,0.204553,0.9,2.66,0.0213953,0,0.3468,114.2776,1.546
3789.2736,0.070709,0,0,0,0,0.193764,0.9,2.66,0.0213947,0,0.3649,114.2812,1.519
3789.426,0.071793,0,0,0,0,0.211908,0.9,2.66,0.0213942,0,0.3388,114.2847,1.6339
3789.5784,0.069835,0,0,0,0,0.23009,0.9,2.66,0.0213936,0,0.3035,114.2882,1.6839
3789.7308,0.063109,0,0,0,0,0.221035,0.9,2.66,0.0213931,0,0.2855,114.2917,1.6805
3789.8832,0.062498,0,0,0,0,0.230102,0.9,2.66,0.0213925,0,0.2716,114.2953,1.6504
3790.0356,0.06523,0,0,0,0,0.2199,0.9,2.66,0.0213919,0,0.2966,114.2988,1.6427
3790.188,0.068906,0,0,0,0,0.240314,0.9,2.66,0.0213914,0,0.2867,114.3023,1.5512
3790.3404,0.067929,0,0,0,0,0.212537,0.9,2.66,0.0213908,0,0.3196,114.3059,1.5593
3790.4928,0.067054,0,0,0,0,0.213067,0.9,2.66,0.0213903,0,0.3147,114.3094,1.7169
3790.6452,0.066363,0,0,0,0,0.219877,0.9,2.66,0.0213897,0,0.3018,114.3129,1.6697
3790.7976,0.064659,0,0,0,0,0.204566,0.9,2.66,0.0213892,0,0.3161,114.3164,1.6132
3790.95,0.064076,0,0,0,0,0.202843,0.9,2.66,0.0213886,0,0.3159,114.32,1.7243
3791.1024,0.064323,0,0,0,0,0.194329,0.9,2.66,0.0213881,0,0.331,114.3235,1.7313
3791.2548,0.066752,0,0,0,0,0.213044,0.9,2.66,0.0213875,0,0.3133,114.327,1.597
3791.4072,0.063449,0,0,0,0,0.206826,0.9,2.66,0.0213869,0,0.3068,114.3305,1.5577
3791.5596,0.061534,0,0,0,0,0.211358,0.9,2.66,0.0213864,0,0.2911,114.3341,1.6017
